Area Type,Area Name,Date,Year,Month,SeasonallyAdjusted,NotSeasonallyAdjusted
National,U.S.,1948/01,1948,January,3.4,4.0
National,U.S.,1948/02,1948,February,3.8,4.7
National,U.S.,1948/03,1948,March,4.0,4.5
National,U.S.,1948/04,1948,April,3.9,4.0
National,U.S.,1948/05,1948,May,3.5,3.4
National,U.S.,1948/06,1948,June,3.6,3.9
National,U.S.,1948/07,1948,July,3.6,3.9
National,U.S.,1948/08,1948,August,3.9,3.6
National,U.S.,1948/09,1948,September,3.8,3.4
National,U.S.,1948/10,1948,October,3.7,2.9
National,U.S.,1948/11,1948,November,3.8,3.3
National,U.S.,1948/12,1948,December,4.0,3.6
National,U.S.,1949/01,1949,January,4.3,5.0
National,U.S.,1949/02,1949,February,4.7,5.8
National,U.S.,1949/03,1949,March,5.0,5.6
National,U.S.,1949/04,1949,April,5.3,5.4
National,U.S.,1949/05,1949,May,6.1,5.7
National,U.S.,1949/06,1949,June,6.2,6.4
National,U.S.,1949/07,1949,July,6.7,7.0
National,U.S.,1949/08,1949,August,6.8,6.3
National,U.S.,1949/09,1949,September,6.6,5.9
National,U.S.,1949/10,1949,October,7.9,6.1
National,U.S.,1949/11,1949,November,6.4,5.7
National,U.S.,1949/12,1949,December,6.6,6.0
National,U.S.,1950/01,1950,January,6.5,7.6
National,U.S.,1950/02,1950,February,6.4,7.9
National,U.S.,1950/03,1950,March,6.3,7.1
National,U.S.,1950/04,1950,April,5.8,6.0
National,U.S.,1950/05,1950,May,5.5,5.3
National,U.S.,1950/06,1950,June,5.4,5.6
National,U.S.,1950/07,1950,July,5.0,5.3
National,U.S.,1950/08,1950,August,4.5,4.1
National,U.S.,1950/09,1950,September,4.4,4.0
National,U.S.,1950/10,1950,October,4.2,3.3
National,U.S.,1950/11,1950,November,4.2,3.8
National,U.S.,1950/12,1950,December,4.3,3.9
National,U.S.,1951/01,1951,January,3.7,4.4
National,U.S.,1951/02,1951,February,3.4,4.2
National,U.S.,1951/03,1951,March,3.4,3.8
National,U.S.,1951/04,1951,April,3.1,3.2
National,U.S.,1951/05,1951,May,3.0,2.9
National,U.S.,1951/06,1951,June,3.2,3.4
National,U.S.,1951/07,1951,July,3.1,3.3
National,U.S.,1951/08,1951,August,3.1,2.9
National,U.S.,1951/09,1951,September,3.3,3.0
National,U.S.,1951/10,1951,October,3.5,2.8
National,U.S.,1951/11,1951,November,3.5,3.2
National,U.S.,1951/12,1951,December,3.1,2.9
National,U.S.,1952/01,1952,January,3.2,3.7
National,U.S.,1952/02,1952,February,3.1,3.8
National,U.S.,1952/03,1952,March,2.9,3.3
National,U.S.,1952/04,1952,April,2.9,3.0
National,U.S.,1952/05,1952,May,3.0,2.9
National,U.S.,1952/06,1952,June,3.0,3.2
National,U.S.,1952/07,1952,July,3.2,3.3
National,U.S.,1952/08,1952,August,3.4,3.1
National,U.S.,1952/09,1952,September,3.1,2.7
National,U.S.,1952/10,1952,October,3.0,2.4
National,U.S.,1952/11,1952,November,2.8,2.5
National,U.S.,1952/12,1952,December,2.7,2.5
National,U.S.,1953/01,1953,January,2.9,3.4
National,U.S.,1953/02,1953,February,2.6,3.2
National,U.S.,1953/03,1953,March,2.6,2.9
National,U.S.,1953/04,1953,April,2.7,2.8
National,U.S.,1953/05,1953,May,2.5,2.5
National,U.S.,1953/06,1953,June,2.5,2.7
National,U.S.,1953/07,1953,July,2.6,2.7
National,U.S.,1953/08,1953,August,2.7,2.4
National,U.S.,1953/09,1953,September,2.9,2.6
National,U.S.,1953/10,1953,October,3.1,2.5
National,U.S.,1953/11,1953,November,3.5,3.2
National,U.S.,1953/12,1953,December,4.5,4.2
National,U.S.,1954/01,1954,January,4.9,5.7
National,U.S.,1954/02,1954,February,5.2,6.3
National,U.S.,1954/03,1954,March,5.7,6.4
National,U.S.,1954/04,1954,April,5.9,6.1
National,U.S.,1954/05,1954,May,5.9,5.7
National,U.S.,1954/06,1954,June,5.6,5.7
National,U.S.,1954/07,1954,July,5.8,5.7
National,U.S.,1954/08,1954,August,6.0,5.4
National,U.S.,1954/09,1954,September,6.1,5.3
National,U.S.,1954/10,1954,October,5.7,4.6
National,U.S.,1954/11,1954,November,5.3,4.9
National,U.S.,1954/12,1954,December,5.0,4.8
National,U.S.,1955/01,1955,January,4.9,5.8
National,U.S.,1955/02,1955,February,4.7,5.7
National,U.S.,1955/03,1955,March,4.6,5.2
National,U.S.,1955/04,1955,April,4.7,4.9
National,U.S.,1955/05,1955,May,4.3,4.2
National,U.S.,1955/06,1955,June,4.2,4.4
National,U.S.,1955/07,1955,July,4.0,4.0
National,U.S.,1955/08,1955,August,4.2,3.8
National,U.S.,1955/09,1955,September,4.1,3.5
National,U.S.,1955/10,1955,October,4.3,3.4
National,U.S.,1955/11,1955,November,4.2,3.8
National,U.S.,1955/12,1955,December,4.2,3.9
National,U.S.,1956/01,1956,January,4.0,4.7
National,U.S.,1956/02,1956,February,3.9,4.8
National,U.S.,1956/03,1956,March,4.2,4.7
National,U.S.,1956/04,1956,April,4.0,4.1
National,U.S.,1956/05,1956,May,4.3,4.2
National,U.S.,1956/06,1956,June,4.3,4.7
National,U.S.,1956/07,1956,July,4.4,4.4
National,U.S.,1956/08,1956,August,4.1,3.7
National,U.S.,1956/09,1956,September,3.9,3.4
National,U.S.,1956/10,1956,October,3.9,3.1
National,U.S.,1956/11,1956,November,4.3,3.9
National,U.S.,1956/12,1956,December,4.2,4.0
National,U.S.,1957/01,1957,January,4.2,4.9
